gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,fyr,costat
1274,31/12/2007,2007,FS,C,D,STD,USD,12,A
1274,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1274,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1274,31/12/2008,2008,FS,C,D,STD,USD,12,A
1274,31/12/2009,2009,FS,C,D,STD,USD,12,A
1274,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1274,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1274,31/12/2010,2010,FS,C,D,STD,USD,12,A
1274,31/12/2011,2011,FS,C,D,STD,USD,12,A
1274,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1274,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1274,31/12/2012,2012,FS,C,D,STD,USD,12,A
1274,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1274,31/12/2013,2013,FS,C,D,STD,USD,12,A
1274,31/12/2014,2014,FS,C,D,STD,USD,12,A
1274,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1274,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1274,31/12/2015,2015,FS,C,D,STD,USD,12,A
1279,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1279,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1279,31/12/2008,2008,INDL,C,D,STD,USD,12,I
1279,31/12/2009,2009,INDL,C,D,STD,USD,12,I
1279,31/12/2010,2010,INDL,C,D,STD,USD,12,I
1300,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1300,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1300,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1300,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1300,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1300,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1300,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1300,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1300,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1300,31/12/2015,2015,INDL,C,D,STD,USD,12,A
