,gvkey,debt_at,debt_ebitda,debt_assets,cash_debt,year
71024,13341,0.11599999999999999,17.285,0.75,0.129,2008
71036,13341,0.115,1.403,0.7490000000000001,0.11,2009
71048,13341,0.1,1.173,0.705,0.10400000000000001,2010
71060,13341,0.096,1.187,0.7170000000000001,0.111,2011
71072,13341,0.10800000000000001,1.5619999999999998,0.7240000000000001,0.09300000000000001,2012
71084,13341,0.087,1.094,0.728,0.10099999999999999,2013
71096,13341,0.081,1.01,0.737,0.10400000000000001,2014
71108,13341,0.091,1.151,0.733,0.092,2015
71120,13342,0.040999999999999995,0.8059999999999999,0.746,0.09699999999999999,2006
71132,13342,0.045,0.605,0.7190000000000001,0.085,2007
71144,13342,0.047,0.49700000000000005,0.7120000000000001,0.069,2008
71156,13342,0.040999999999999995,0.892,0.695,0.094,2009
71168,13342,0.038,0.731,0.6679999999999999,0.075,2010
71180,13342,0.038,0.5539999999999999,0.6829999999999999,0.057999999999999996,2011
71192,13342,0.037000000000000005,0.52,0.6859999999999999,0.063,2012
71204,13342,0.051,0.6990000000000001,0.6940000000000001,0.02,2013
71216,13342,0.053,0.847,0.688,0.071,2014
71228,13342,0.053,0.7859999999999999,0.691,0.064,2015
71240,13380,0.204,19.819000000000003,0.55,0.102,2006
71252,13380,0.252,2.546,0.537,0.038,2007
71264,13380,0.251,3.639,0.513,0.06,2008
71276,13380,0.27899999999999997,-28.874000000000002,0.5379999999999999,-0.001,2009
71288,13380,0.242,2.613,0.503,0.18100000000000002,2010
71300,13380,0.21899999999999997,1.788,0.45899999999999996,0.126,2011
71312,13380,0.177,1.389,0.446,0.29600000000000004,2012
71322,13380,0.166,1.43,0.451,0.185,2013
71334,13407,0.509,11.498,0.73,0.035,2006
71346,13407,0.615,51.303000000000004,0.821,-0.055999999999999994,2007
71347,13407,0.615,51.303000000000004,0.821,-0.055999999999999994,2008
71359,13421,0.158,1.4469999999999998,0.44299999999999995,0.27399999999999997,2006
71371,13421,0.203,1.7069999999999999,0.478,0.242,2007
71383,13421,0.187,4.748,0.474,0.225,2008
71395,13421,0.293,-8.724,0.929,0.045,2009
71407,13421,0.316,5.547999999999999,0.89,0.02,2010
71419,13421,0.307,3.159,0.8240000000000001,0.13699999999999998,2011
71431,13421,0.235,1.453,0.7340000000000001,0.17800000000000002,2012
71443,13421,0.203,1.493,0.5820000000000001,0.23,2013
71455,13421,0.136,1.028,0.529,0.289,2014
71467,13421,0.185,1.234,0.501,0.16899999999999998,2015
71479,13431,0.271,0.924,0.599,0.624,2006
71491,13431,0.348,1.875,0.644,0.315,2007
71503,13431,0.35700000000000004,1.625,0.747,0.25,2008
71515,13431,0.46799999999999997,3.9760000000000004,0.675,0.239,2009
71527,13431,0.384,2.8789999999999996,0.617,0.138,2010
71539,13431,0.405,2.504,0.645,0.20199999999999999,2011
71551,13431,0.502,2.633,0.691,0.24100000000000002,2012
71562,13431,0.502,2.78,0.687,0.217,2013
71574,13440,0.7290000000000001,12.787,1.014,-0.005,2006
71586,13440,0.674,10.442,0.8959999999999999,0.019,2007
71598,13440,0.6829999999999999,7.845,0.9059999999999999,0.025,2008
71610,13440,0.688,6.516,0.9129999999999999,0.047,2009
71622,13440,0.743,8.266,0.981,0.042,2010
71634,13440,0.8059999999999999,8.38,1.0390000000000001,0.04,2011
71646,13440,0.648,6.473,0.9059999999999999,0.032,2012
71658,13440,0.662,6.377999999999999,0.9129999999999999,0.048,2013
71670,13440,0.653,4.834,0.88,0.062,2014
71682,13440,0.534,4.506,0.682,0.08,2015
71695,13540,0.336,2.782,0.612,0.171,2013
71707,13540,0.41,3.3560000000000003,0.653,0.14,2014
71719,13540,0.47,3.853,0.69,0.124,2015
71731,13557,0.024,2.608,0.9209999999999999,0.046,2006
71740,13557,0.02,1.675,0.9209999999999999,0.025,2007
71752,13561,0.653,12.015999999999998,0.813,0.027999999999999997,2006
71764,13561,0.705,11.804,0.8370000000000001,0.02,2007
71776,13561,0.6659999999999999,-6.585,0.932,0.023,2008
71788,13561,0.486,-19.108,0.927,-0.005,2009
71800,13561,0.521,-17.295,0.9279999999999999,-0.095,2010
71812,13561,0.523,-67.779,0.929,-0.043,2011
71824,13561,0.583,-8.378,0.9109999999999999,-0.11800000000000001,2012
71825,13561,0.583,-8.378,0.9109999999999999,-0.11800000000000001,2013
71872,13597,0.022000000000000002,0.231,0.7170000000000001,0.172,2006
71884,13597,0.021,0.138,0.638,0.054000000000000006,2007
71896,13597,0.022000000000000002,0.28300000000000003,0.601,-0.006,2008
71908,13597,0.023,0.872,0.585,-0.017,2009
71913,13597,0.024,0.971,0.5710000000000001,-0.016,2010
71925,13599,0.293,2.6189999999999998,0.462,0.069,2006
71937,13599,0.134,1.078,0.27,0.11,2007
71949,13599,0.055999999999999994,0.337,0.195,0.622,2008
71961,13599,0.006,0.03,0.19399999999999998,0.191,2009
71973,13599,0.004,0.02,0.20199999999999999,0.915,2010
71985,13599,0.142,0.805,0.41100000000000003,0.28300000000000003,2011
71997,13599,0.18899999999999997,0.914,0.45,0.40299999999999997,2012
72009,13599,0.29600000000000004,1.4709999999999999,0.5379999999999999,0.33399999999999996,2013
72021,13599,0.406,2.169,0.644,0.28600000000000003,2014
72033,13599,0.46,3.366,0.687,0.259,2015
72045,13623,0.332,3.594,0.49700000000000005,0.094,2006
72057,13623,0.289,2.739,0.46799999999999997,0.153,2007
72069,13623,0.242,2.0980000000000003,0.433,0.16899999999999998,2008
72081,13623,0.203,2.57,0.40700000000000003,0.153,2009
72093,13623,0.20600000000000002,2.259,0.41200000000000003,0.066,2010
72105,13623,0.183,1.911,0.39299999999999996,0.096,2011
72117,13623,0.162,1.601,0.434,0.284,2012
72129,13623,0.195,1.964,0.451,0.19899999999999998,2013
72141,13623,0.217,2.031,0.45299999999999996,0.16699999999999998,2014
72153,13623,0.23399999999999999,2.38,0.47100000000000003,0.126,2015
72165,13634,0.332,6.369,0.871,-0.024,2006
