,gvkey,fiscal_year,fiscal_month
218,1393,2012.0,3.0
219,1393,2013.0,3.0
220,1393,2014.0,3.0
221,1393,2015.0,3.0
222,1408,2006.0,12.0
223,1408,2007.0,12.0
224,1408,2008.0,12.0
225,1408,2009.0,12.0
226,1408,2010.0,12.0
227,1408,2011.0,12.0
228,1408,2012.0,12.0
229,1408,2013.0,12.0
230,1414,2006.0,12.0
231,1414,2007.0,12.0
233,1414,2008.0,12.0
235,1414,2009.0,12.0
237,1414,2010.0,12.0
239,1414,2011.0,12.0
241,1414,2012.0,12.0
243,1414,2013.0,12.0
245,1414,2014.0,12.0
247,1414,2015.0,12.0
248,1429,2006.0,8.0
249,1429,2007.0,8.0
250,1429,2008.0,8.0
251,1429,2009.0,8.0
252,1429,2010.0,8.0
253,1429,2011.0,8.0
254,1429,2012.0,8.0
255,1429,2013.0,8.0
256,1439,2006.0,12.0
257,1439,2007.0,12.0
258,1439,2008.0,12.0
259,1439,2009.0,12.0
260,1439,2010.0,12.0
261,1439,2011.0,12.0
262,1439,2012.0,12.0
263,1439,2013.0,12.0
264,1439,2014.0,12.0
265,1439,2015.0,12.0
266,1440,2006.0,12.0
267,1440,2007.0,12.0
268,1440,2008.0,12.0
269,1440,2009.0,12.0
270,1440,2010.0,12.0
271,1440,2011.0,12.0
272,1440,2012.0,12.0
273,1440,2013.0,12.0
274,1440,2014.0,12.0
275,1440,2015.0,12.0
277,1447,2006.0,12.0
279,1447,2007.0,12.0
281,1447,2008.0,12.0
283,1447,2009.0,12.0
285,1447,2010.0,12.0
287,1447,2011.0,12.0
289,1447,2012.0,12.0
291,1447,2013.0,12.0
293,1447,2014.0,12.0
295,1447,2015.0,12.0
296,1448,2006.0,12.0
297,1448,2007.0,12.0
298,1448,2008.0,12.0
299,1448,2009.0,12.0
300,1448,2010.0,12.0
301,1448,2011.0,12.0
302,1448,2012.0,12.0
303,1448,2013.0,12.0
304,1448,2014.0,12.0
305,1448,2015.0,12.0
307,1449,2006.0,12.0
309,1449,2007.0,12.0
311,1449,2008.0,12.0
313,1449,2009.0,12.0
315,1449,2010.0,12.0
317,1449,2011.0,12.0
319,1449,2012.0,12.0
321,1449,2013.0,12.0
323,1449,2014.0,12.0
325,1449,2015.0,12.0
326,1468,2006.0,2.0
327,1468,2007.0,2.0
328,1468,2008.0,2.0
329,1468,2009.0,2.0
330,1468,2010.0,2.0
331,1468,2011.0,2.0
332,1468,2012.0,2.0
333,1478,2006.0,12.0
334,1478,2007.0,12.0
335,1478,2008.0,12.0
337,1487,2006.0,12.0
339,1487,2007.0,12.0
341,1487,2008.0,12.0
343,1487,2009.0,12.0
345,1487,2010.0,12.0
347,1487,2011.0,12.0
349,1487,2012.0,12.0
351,1487,2013.0,12.0
353,1487,2014.0,12.0
355,1487,2015.0,12.0
357,1526,2006.0,12.0
359,1526,2007.0,12.0
361,1526,2008.0,12.0
363,1526,2009.0,12.0
365,1526,2010.0,12.0
367,1526,2011.0,12.0
369,1526,2012.0,12.0
371,1526,2013.0,12.0
373,1526,2014.0,12.0
375,1526,2015.0,12.0
376,1533,2006.0,9.0
377,1533,2007.0,9.0
378,1533,2008.0,9.0
379,1533,2009.0,9.0
380,1533,2010.0,9.0
381,1533,2011.0,9.0
382,1533,2012.0,9.0
383,1533,2013.0,9.0
384,1598,2006.0,12.0
385,1598,2007.0,12.0
386,1598,2008.0,12.0
387,1598,2009.0,12.0
388,1598,2010.0,12.0
389,1598,2011.0,12.0
390,1598,2012.0,12.0
391,1598,2013.0,12.0
392,1598,2014.0,12.0
393,1598,2015.0,12.0
394,1602,2006.0,12.0
395,1602,2007.0,12.0
396,1602,2008.0,12.0
397,1602,2009.0,12.0
398,1602,2010.0,12.0
399,1602,2011.0,12.0
400,1602,2012.0,12.0
401,1602,2013.0,12.0
402,1602,2014.0,12.0
403,1602,2015.0,12.0
404,1632,2006.0,10.0
405,1632,2007.0,10.0
406,1632,2008.0,10.0
407,1632,2009.0,10.0
408,1632,2010.0,10.0
409,1632,2011.0,10.0
410,1632,2012.0,10.0
411,1632,2013.0,10.0
412,1632,2014.0,10.0
413,1632,2015.0,10.0
414,1635,2006.0,6.0
415,1635,2007.0,6.0
